Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
317,15th St/City Hall,T3,5,10,1,0.9,25.5,26.4
318,36th-Sansom,T3,3,10,1,0.9,25.5,26.4
319,Chester Av & 56th St,T3,3,10,1,0.9,25.5,26.4
320,Woodland Av & Island Av,T4,2,10,1,0.9,25.5,26.4
321,Woodland Av & 72nd St,T4,2,10,1,0.9,25.5,26.4
322,Woodland Av & 71st St,T4,2,10,1,0.9,25.5,26.4
323,Woodland Av & 70th St,T4,2,10,1,0.9,25.5,26.4
324,Woodland Av & 69th St,T4,2,10,1,0.9,25.5,26.4
325,Woodland Av & 49th St,T4,3,10,1,0.9,25.5,26.4
326,Woodland Av & 45th St,T4,3,10,1,0.9,25.5,26.4
327,36th-Sansom,T4,3,10,1,0.9,25.5,26.4
328,15th St/City Hall,T4,5,10,1,0.9,25.5,26.4
329,15th St/City Hall,T4,5,10,1,0.9,25.5,26.4
330,36th-Sansom,T4,3,10,1,0.9,25.5,26.4
331,Woodland Av & 43rd St,T4,3,10,1,0.9,25.5,26.4
332,Woodland Av & 49th St,T4,3,10,1,0.9,25.5,26.4
333,Woodland Av & 69th St,T4,2,10,1,0.9,25.5,26.4
334,Woodland Av & 70th St,T4,2,10,1,0.9,25.5,26.4
335,Woodland Av & 71st St,T4,2,10,1,0.9,25.5,26.4
336,Woodland Av & 72nd St,T4,2,10,1,0.9,25.5,26.4
337,Woodland Av & Island Av,T4,2,10,1,0.9,25.5,26.4
338,Elmwood Loop,T5,2,10,1,0.9,25.5,26.4
339,Elmwood Av & 73rd St,T5,2,10,1,0.9,25.5,26.4
340,49th St & Paschall Av,T5,3,10,1,0.9,25.5,26.4
341,49th St & Woodland Av,T5,3,10,1,0.9,25.5,26.4
342,Woodland Av & 45th St,T5,3,10,1,0.9,25.5,26.4
343,36th-Sansom,T5,3,10,1,0.9,25.5,26.4
344,15th St/City Hall,T5,5,10,1,0.9,25.5,26.4
345,15th St/City Hall,T5,5,10,1,0.9,25.5,26.4
346,36th-Sansom,T5,3,10,1,0.9,25.5,26.4
347,Woodland Av & 43rd St,T5,3,10,1,0.9,25.5,26.4
348,Woodland Av & 49th St,T5,3,10,1,0.9,25.5,26.4
349,49th St & Paschall Av,T5,3,10,1,0.9,25.5,26.4
350,Elmwood Av & 73rd St,T5,2,10,1,0.9,25.5,26.4
351,Elmwood Loop,T5,2,10,1,0.9,25.5,26.4
